z,E,Omega_m,Omega_Lambda,q
1.96,3.0514660957207655,0.9284035246085678,0.07159647539143225,0.3926052869128516
1.97,3.065837188545188,0.9290731675175109,0.07092683248248915,0.3936097512762663
1.98,3.0802376531689886,0.9297347994589018,0.07026520054109826,0.39460219918835265
1.99,3.094667402699898,0.9303885339612938,0.06961146603870627,0.39558280094194065
2.0,3.1091263510296048,0.9310344827586209,0.06896551724137932,0.3965517241379311
2.01,3.123614412823708,0.93167275581985,0.06832724418015013,0.39750913372977487
2.02,3.1381315035118162,0.932303461378177,0.06769653862182304,0.39845519206726543
2.03,3.15267753927779,0.9329267059597676,0.06707329404023267,0.3993900589396511
2.04,3.167252437050132,0.9335425944120486,0.06645740558795131,0.40031389161807296
2.05,3.1818561144925033,0.9341512299315585,0.06584877006844159,0.4012268448973377
2.06,3.196488489994398,0.934752714091352,0.06524728590864806,0.4021290711370279
2.07,3.2111494826619325,0.935347146867975,0.06465285313202505,0.40302072030196245
2.08,3.2258390123087874,0.935934626668006,0.06406537333199393,0.4039019400020091
2.09,3.2405569994472656,0.9365152503541734,0.06348474964582651,0.4047728755312602
2.1,3.2553033652794943,0.9370891132710515,0.06291088672894843,0.40563366990657734
2.11,3.270078031688744,0.9376563092703418,0.062343690729658424,0.4064844639055125
2.12,3.2848809212308847,0.9382169307357425,0.061783069264257556,0.40732539610361373
2.13,3.2997119571259548,0.9387710686074157,0.06122893139258439,0.40815660291112343
2.14,3.314571063249864,0.9393188124060502,0.060681187593949644,0.40897821860907546
2.15,3.329458164126209,0.9398602502565336,0.060139749743466385,0.40979037538480045
2.16,3.344373184918214,0.9403954689112305,0.05960453108876975,0.4105932033668455
2.17,3.3593160514207847,0.9409245537728785,0.05907544622712153,0.41138683065931775
2.18,3.3742866900526796,0.941447588917106,0.058552411082894044,0.41217138337565895
2.19,3.3892850278487936,0.9419646571145718,0.05803534288542846,0.41294698567185745
2.2,3.40431099245256,0.9424758398527383,0.05752416014726185,0.4137137597791073
2.21,3.419364512108451,0.9429812173572814,0.05701878264271851,0.41447182603592214
2.22,3.4344455156546014,0.9434808686131404,0.056519131386859656,0.41522130291971054
2.23,3.4495539325155264,0.9439748713852131,0.05602512861478681,0.4159623070778197
2.24,3.4646896926949555,0.9444633022387066,0.055536697761293496,0.4166949533580598
2.25,3.4798527267687636,0.9449462365591398,0.05505376344086022,0.4174193548387097
2.26,3.4950429658780062,0.9454237485720123,0.05457625142798763,0.41813562285801853
2.27,3.510260341722059,0.9458959113621372,0.05410408863786275,0.41884386704320586
2.28,3.5255047865518487,0.9463627968926467,0.05363720310735338,0.41954419533896997
2.29,3.5407762331631933,0.9468244760236747,0.0531755239763253,0.42023671403551205
2.3,3.5560746148902256,0.9472810185307219,0.05271898146927801,0.42092152779608294
2.31,3.571399865598922,0.9477324931227068,0.05226750687729323,0.42159873968406014
2.32,3.58675191968072,0.9481789674597082,0.0518210325402919,0.4222684511895622
2.33,3.602130712046228,0.9486205081704053,0.05137949182959468,0.422930762255608
2.34,3.6175361781190243,0.949057180869219,0.050942819130781025,0.42358577130382846
2.35,3.6329682538295502,0.949489050173158,0.05051094982684216,0.4242335752597368
2.36,3.648426875609084,0.9499161797183767,0.05008382028162333,0.424874269577565
2.37,3.6639119803838085,0.9503386321764493,0.049661367823550566,0.4255079482646741
2.38,3.679423505568954,0.9507564692703627,0.04924353072963746,0.4261347039055439
2.39,3.6949613890630397,0.9511697517902329,0.04883024820976713,0.42675462768534933
2.4,3.7105255692421792,0.9515785396087545,0.048421460391245404,0.42736780941313185
2.41,3.726115984954485,0.95198289169638,0.048017108303620146,0.4279743375445698
2.42,3.741732575514539,0.9523828661362371,0.04761713386376281,0.42857429920435575
2.43,3.7573752806979503,0.9527785201387925,0.04722147986120757,0.4291677802081887
2.44,3.7730440407359853,0.953169910056256,0.04683008994374395,0.42975486508438404
2.45,3.78873879631028,0.9535570913967415,0.046442908603258545,0.4303356370951122
2.46,3.804459488547617,0.9539401188381782,0.04605988116182182,0.4309101782572673
2.47,3.820206059014793,0.9543190462419843,0.0456809537580156,0.4314785693629765
2.48,3.835978449713536,0.9546939266665024,0.04530607333349765,0.43204088999975354
